time,x,y,z
0.004,-0.02,0.08,0.01
0.005,-0.02,-0.02,0.03
0.005,-0.01,-0.09,0.01
0.020,-0.00,-0.13,0.01
0.021,-0.01,-0.16,0.01
0.022,-0.01,-0.16,0.03
0.023,-0.00,-0.12,0.01
0.029,-0.00,-0.08,0.02
0.032,-0.02,-0.03,0.02
0.042,-0.02,0.02,0.02
0.043,0.00,0.07,0.02
0.045,-0.01,0.10,0.02
0.064,0.00,0.11,0.01
0.066,0.00,0.08,0.02
0.067,-0.01,0.04,0.01
0.068,-0.01,0.01,0.02
0.069,-0.01,-0.03,0.01
0.074,-0.01,-0.09,0.02
0.077,-0.01,-0.08,0.02
0.081,-0.01,-0.08,-0.00
0.087,-0.02,-0.07,0.01
0.090,0.00,-0.01,0.01
0.094,-0.01,-0.02,0.02
0.099,-0.01,0.01,0.02
0.109,-0.02,0.05,0.00
0.112,-0.01,0.07,0.03
0.112,-0.01,0.04,0.01
0.134,-0.01,0.04,0.02
0.135,-0.01,0.02,0.01
0.136,-0.02,-0.01,0.02
0.137,-0.01,-0.03,0.01
0.138,-0.02,-0.04,0.02
0.139,-0.01,-0.05,0.01
0.142,-0.00,-0.04,0.01
0.148,0.00,-0.04,0.01
0.151,-0.02,-0.03,0.01
0.160,0.00,0.02,0.03
0.161,-0.01,0.00,0.01
0.165,-0.02,0.02,0.02
0.173,0.02,0.02,0.02
0.174,-0.00,0.00,0.00
0.178,-0.01,-0.00,0.00
0.183,-0.01,-0.01,0.02
0.188,-0.01,-0.02,0.01
0.192,-0.00,-0.04,0.03
0.195,-0.00,-0.01,0.00
0.200,-0.00,-0.03,0.02
0.209,0.01,-0.02,0.02
0.210,-0.02,-0.01,0.01
0.213,-0.00,0.01,0.01
0.227,-0.00,0.00,0.00
0.228,-0.00,0.01,0.00
0.228,-0.02,0.01,0.02
0.232,-0.01,0.00,0.01
0.242,-0.03,0.01,0.02
0.243,-0.02,-0.01,0.01
0.244,-0.01,-0.01,0.03
0.250,0.00,-0.02,0.01
0.261,-0.02,-0.02,0.02
0.262,0.01,-0.02,0.00
0.263,0.00,-0.02,0.00
0.266,-0.01,-0.01,0.02
0.272,0.00,0.01,0.03
0.275,-0.00,-0.00,0.01
0.279,-0.01,-0.01,0.02
0.283,-0.02,0.01,0.01
0.289,-0.01,-0.00,0.01
0.294,-0.01,-0.01,0.01
0.297,-0.00,-0.02,0.02
0.301,-0.03,-0.01,0.02
0.312,0.00,-0.02,0.01
0.313,-0.02,-0.01,0.01
0.315,-0.00,-0.01,0.02
0.323,-0.00,-0.03,0.01
0.326,-0.01,-0.01,0.01
0.327,-0.01,-0.00,0.01
0.332,-0.01,-0.00,0.01
0.338,-0.00,-0.01,0.01
0.341,-0.01,0.00,0.02
0.345,-0.01,-0.00,0.02
0.350,-0.00,-0.00,0.00
0.361,-0.01,-0.03,0.00
0.362,-0.02,-0.01,0.01
0.363,-0.02,-0.01,0.01
0.368,-0.01,-0.01,0.00
0.372,0.01,-0.02,0.02
0.377,-0.01,-0.01,0.01
0.381,-0.01,0.01,0.03
0.385,0.01,-0.04,0.01
0.390,0.01,0.00,0.02
0.396,-0.02,-0.00,0.00
0.401,-0.02,-0.02,0.00
0.411,0.00,-0.00,0.00
0.413,-0.02,0.00,0.01
0.413,-0.00,-0.00,-0.00
0.416,0.01,-0.01,0.01
0.422,-0.00,-0.00,0.01
0.427,-0.01,-0.01,0.01
0.430,-0.03,0.00,0.01
0.434,-0.01,-0.01,0.00
0.443,0.00,0.00,0.01
0.443,0.01,-0.03,0.01
0.451,-0.00,-0.00,0.01
0.452,-0.00,-0.01,0.01
0.462,-0.01,-0.01,0.00
0.463,-0.01,0.00,0.01
0.466,0.00,-0.01,0.01
0.477,-0.01,-0.01,0.01
0.478,-0.01,0.00,0.01
0.479,-0.02,-0.00,0.01
0.484,0.00,-0.02,0.01
0.489,-0.01,-0.01,0.00
0.492,-0.00,0.00,0.02
0.498,-0.01,-0.00,0.00
0.506,-0.00,-0.01,0.02
0.507,-0.01,-0.01,0.01
0.515,-0.03,-0.02,0.00
0.520,-0.00,-0.00,0.00
0.521,0.00,0.00,0.00
0.522,-0.01,-0.01,0.02
0.530,-0.01,-0.01,0.01
0.531,-0.00,-0.01,0.00
0.536,0.00,-0.02,0.02
0.540,0.02,-0.01,0.01
0.544,-0.02,-0.00,0.02
0.549,0.00,0.00,0.01
0.558,-0.00,-0.02,0.01
0.559,-0.01,-0.02,0.01
0.562,0.00,-0.01,0.01
0.569,-0.01,-0.01,-0.01
0.580,-0.01,-0.01,0.01
0.581,-0.01,0.00,0.00
0.582,-0.01,0.00,0.01
0.585,0.00,0.01,0.01
0.592,-0.00,-0.01,0.01
0.593,0.01,-0.02,0.01
0.602,-0.00,-0.00,0.00
0.605,0.00,-0.00,0.01
0.622,-0.01,-0.00,0.00
0.623,-0.02,0.00,0.01
0.624,-0.02,-0.02,0.01
0.626,-0.01,-0.01,0.00
0.627,0.01,-0.01,0.01
0.628,-0.02,-0.01,0.01
0.633,0.00,-0.01,0.02
0.641,-0.01,-0.01,-0.01
0.642,-0.02,-0.01,0.00
0.648,-0.00,-0.03,0.01
0.651,0.01,0.00,0.00
0.663,0.00,-0.04,0.01
0.664,0.01,0.00,0.00
0.666,0.00,-0.01,0.01
0.668,-0.01,-0.01,0.00
0.690,-0.01,0.00,0.02
0.691,-0.03,-0.00,-0.00
0.692,-0.02,-0.01,0.00
0.692,0.01,-0.04,0.01
0.695,-0.00,-0.01,0.00
0.696,-0.01,-0.01,0.00
0.700,-0.01,-0.03,-0.00
0.704,0.01,-0.01,0.00
0.715,-0.02,-0.01,0.01
0.716,-0.01,0.01,0.01
0.718,0.00,-0.00,0.00
0.728,-0.02,0.01,0.00
0.731,-0.01,0.00,0.01
0.732,-0.01,-0.00,0.00
0.736,-0.01,-0.00,-0.00
0.750,-0.01,-0.02,0.01
0.751,-0.01,-0.01,0.00
0.752,-0.00,-0.01,0.01
0.760,-0.01,0.01,0.01
0.761,-0.00,-0.00,0.00
0.763,-0.02,-0.00,0.01
0.766,-0.01,-0.01,0.00
0.770,-0.00,-0.01,-0.01
0.774,-0.01,0.01,0.00
0.778,-0.02,0.00,0.00
0.783,-0.01,-0.00,0.01
0.788,-0.00,-0.01,0.00
0.797,-0.02,0.00,0.01
0.798,-0.00,-0.02,-0.00
0.803,-0.02,-0.01,-0.00
0.810,-0.00,0.00,-0.00
0.814,-0.01,-0.01,0.01
0.821,-0.01,-0.01,-0.00
0.823,-0.02,-0.01,0.00
0.823,-0.01,-0.01,-0.00
0.828,-0.02,0.01,0.00
0.832,-0.01,-0.00,0.01
0.838,0.00,-0.01,-0.00
0.847,-0.02,0.00,-0.02
0.848,-0.03,-0.02,0.00
0.849,-0.01,-0.01,-0.00
0.855,-0.01,-0.01,0.02
0.861,-0.01,-0.02,0.01
0.863,-0.00,-0.01,0.01
0.871,-0.01,-0.01,-0.01
0.872,-0.02,0.01,-0.01
0.877,-0.02,0.01,0.01
0.890,-0.00,-0.01,-0.00
0.891,-0.02,0.01,0.01
0.892,0.01,-0.02,-0.00
0.908,0.01,-0.01,-0.01
0.909,0.00,-0.01,0.01
0.910,-0.01,-0.00,-0.01
0.913,-0.01,-0.01,0.00
0.913,-0.01,-0.01,-0.01
0.917,-0.01,-0.01,-0.01
0.924,0.01,-0.00,0.00
0.928,-0.00,-0.00,0.01
0.929,-0.01,-0.00,0.00
0.943,0.00,-0.01,0.00
0.944,-0.00,0.00,0.00
0.945,0.00,-0.00,0.01
0.948,-0.02,-0.01,0.00
0.951,-0.01,-0.00,0.00
0.987,0.00,-0.02,0.00
0.988,-0.00,-0.01,0.02
0.989,-0.01,-0.01,0.01
0.989,-0.01,-0.01,0.00
0.990,-0.02,-0.00,-0.01
0.996,-0.01,-0.02,0.01
1.005,-0.00,-0.01,0.01
1.006,-0.02,-0.01,-0.00
1.015,-0.01,-0.02,-0.00
1.022,-0.01,0.02,0.00
1.023,-0.00,-0.03,0.01
1.023,0.01,-0.00,0.01
1.028,-0.01,0.01,-0.00
1.029,-0.02,-0.01,-0.00
1.029,-0.00,0.00,0.01
1.030,0.00,-0.03,-0.01
1.031,-0.00,-0.01,0.00
1.032,-0.00,0.00,0.01
1.035,-0.00,-0.01,0.00
1.041,-0.00,-0.01,0.01
1.058,-0.01,-0.01,0.00
1.066,-0.04,-0.02,-0.01
1.067,0.01,0.01,-0.00
1.067,0.01,-0.02,-0.00
1.068,-0.01,-0.02,0.00
1.069,-0.01,0.00,0.01
1.071,0.00,-0.01,0.00
1.079,-0.02,0.01,0.00
1.080,-0.01,0.00,0.00
1.084,-0.01,-0.01,0.01
1.088,-0.00,-0.01,0.00
1.106,0.00,0.00,0.00
1.108,-0.01,-0.02,-0.01
1.109,0.00,-0.01,-0.01
1.110,-0.03,0.01,0.00
1.111,-0.01,-0.02,-0.00
1.114,0.00,-0.01,0.01
1.120,-0.00,-0.03,-0.01
1.133,-0.04,-0.01,-0.00
1.140,0.00,-0.02,-0.00
1.141,-0.01,-0.00,0.00
1.142,0.00,-0.01,0.00
1.143,-0.02,-0.01,-0.00
1.148,0.01,-0.01,-0.01
1.151,0.00,-0.01,0.01
1.156,0.00,0.00,0.01
1.168,0.01,0.01,0.00
1.169,-0.00,-0.01,-0.01
1.170,-0.01,-0.00,0.01
1.175,0.00,-0.02,-0.00
1.181,-0.00,0.00,0.01
1.182,-0.01,-0.00,-0.00
1.185,-0.00,-0.01,-0.01
1.197,-0.01,-0.00,-0.00
1.198,-0.01,-0.01,-0.01
1.198,0.00,-0.01,-0.01
1.205,-0.01,-0.01,0.00
1.219,-0.01,0.00,0.01
1.224,0.00,-0.00,0.00
1.225,-0.00,-0.01,-0.00
1.226,0.01,-0.00,0.00
1.227,-0.01,-0.01,-0.00
1.231,0.00,0.00,0.01
1.235,-0.01,-0.02,0.00
1.238,-0.01,0.01,-0.00
1.247,0.00,-0.01,-0.00
1.248,-0.01,-0.01,0.01
1.252,-0.00,0.01,-0.00
1.257,-0.02,-0.02,0.01
1.269,-0.01,-0.01,-0.01
1.271,-0.02,0.00,-0.01
1.271,0.00,0.00,0.01
1.274,-0.02,0.00,-0.00
1.286,-0.02,-0.01,0.00
1.287,-0.00,-0.01,-0.00
1.288,0.01,-0.01,0.00
1.296,-0.02,-0.03,-0.01
1.297,-0.00,-0.02,-0.01
1.300,-0.00,-0.00,0.00
1.305,-0.00,-0.02,-0.02
1.316,-0.01,-0.01,-0.00
1.317,-0.00,0.01,-0.00
1.319,-0.01,-0.01,0.01
1.334,-0.02,0.00,-0.00
1.334,-0.00,-0.02,0.01
1.336,-0.02,-0.01,-0.00
1.336,0.01,0.00,0.01
1.342,0.01,-0.00,0.01
1.344,-0.01,-0.02,0.00
1.350,-0.01,-0.01,-0.01
1.354,-0.02,-0.02,-0.01
1.366,0.01,-0.03,0.00
1.367,-0.01,-0.01,-0.01
1.369,-0.03,-0.01,-0.00
1.372,-0.01,-0.01,-0.01
1.380,-0.02,0.01,-0.00
1.381,-0.01,0.01,0.00
1.385,-0.01,-0.01,0.00
1.390,0.00,-0.01,0.01
1.403,-0.01,-0.01,-0.00
1.404,0.00,-0.03,0.00
1.405,0.00,-0.02,-0.01
1.408,-0.00,-0.01,0.01
1.415,-0.01,-0.01,-0.00
1.416,-0.01,-0.00,-0.01
1.422,-0.00,-0.00,0.00
1.424,-0.01,-0.02,0.01
1.429,-0.01,-0.00,0.00
1.433,-0.00,-0.01,0.00
1.438,0.00,-0.01,0.00
1.450,-0.03,-0.01,-0.01
1.451,-0.02,-0.01,-0.00
1.453,-0.01,-0.01,0.00
1.455,-0.01,-0.00,-0.01
1.468,-0.01,0.00,-0.01
1.470,-0.01,-0.00,0.00
1.470,-0.00,-0.01,-0.01
1.475,-0.03,-0.00,-0.00
1.479,-0.01,0.00,-0.01
1.481,0.00,0.01,0.01
1.486,-0.01,0.01,0.00
1.492,0.00,-0.01,-0.01
1.505,-0.01,0.01,-0.01
1.507,-0.01,0.00,-0.00
1.508,-0.01,-0.00,-0.00
1.509,-0.00,-0.01,-0.01
1.524,-0.01,0.00,0.01
1.526,-0.00,-0.01,-0.00
1.527,-0.01,0.00,-0.00
1.528,-0.02,0.01,-0.01
1.540,-0.01,0.00,0.01
1.543,-0.01,-0.01,0.00
1.544,0.00,-0.01,-0.01
1.546,-0.02,-0.01,0.01
1.548,-0.01,-0.01,0.00
1.552,-0.03,-0.02,-0.01
1.557,-0.01,-0.00,-0.01
1.564,-0.00,0.00,0.01
1.566,-0.00,-0.01,0.01
1.570,-0.01,-0.00,-0.01
1.574,-0.03,0.00,-0.01
1.580,-0.03,-0.00,-0.00
1.583,-0.00,-0.01,-0.01
1.588,0.01,0.01,-0.01
1.592,0.00,-0.01,0.02
1.606,0.01,-0.01,-0.01
1.607,-0.00,-0.01,-0.00
1.608,-0.01,-0.01,-0.02
1.615,0.01,-0.00,-0.00
1.617,0.00,-0.00,-0.01
1.618,0.01,0.01,-0.01
1.625,-0.01,-0.01,-0.00
1.638,-0.00,-0.02,-0.00
1.642,0.01,-0.01,-0.00
1.645,-0.01,-0.00,-0.00
1.645,-0.01,0.00,-0.01
1.646,-0.01,-0.01,-0.00
1.651,-0.00,0.00,-0.00
1.654,-0.01,-0.01,-0.00
1.658,-0.01,0.01,-0.01
1.664,-0.01,-0.01,0.01
1.668,-0.02,-0.01,-0.00
1.672,-0.01,0.00,-0.02
1.676,-0.04,0.00,-0.01
1.681,-0.02,-0.00,-0.00
1.685,-0.01,-0.01,0.01
1.689,-0.01,-0.01,0.01
1.694,-0.01,-0.02,-0.01
1.702,-0.01,-0.02,0.00
1.705,0.01,-0.01,-0.01
1.706,-0.01,-0.01,0.01
1.719,0.00,0.01,-0.01
1.721,-0.02,-0.01,0.00
1.721,-0.02,-0.01,-0.00
1.726,-0.01,0.00,0.00
1.731,-0.01,-0.02,0.00
1.734,-0.00,-0.01,-0.01
1.739,-0.01,-0.01,0.00
1.742,0.01,-0.01,-0.00
1.753,0.01,-0.00,0.01
1.754,0.01,-0.01,0.02
1.756,-0.00,0.00,-0.00
1.760,0.00,0.01,-0.01
1.768,-0.01,-0.01,0.00
1.777,-0.02,-0.01,0.01
1.778,-0.00,0.01,0.00
1.779,-0.01,0.00,0.01
1.782,-0.01,0.00,-0.01
1.786,-0.02,0.00,-0.00
1.791,-0.01,-0.01,-0.01
1.798,0.00,0.01,0.01
1.800,-0.00,-0.01,-0.02
1.805,-0.01,-0.01,-0.00
1.810,-0.02,-0.00,0.01
1.824,-0.01,-0.01,0.01
1.827,-0.01,0.00,0.00
1.829,-0.00,-0.01,-0.01
1.830,-0.01,0.01,-0.01
1.831,-0.01,-0.01,-0.01
1.835,-0.02,-0.02,-0.00
1.841,0.00,0.01,-0.00
1.855,-0.00,-0.00,0.00
1.861,-0.01,-0.00,0.01
1.862,-0.02,0.00,-0.00
1.863,-0.00,-0.03,-0.00
1.864,-0.00,-0.01,0.01
1.877,-0.01,0.00,-0.01
1.878,0.00,-0.01,-0.01
1.879,0.00,-0.01,0.00
1.880,-0.03,0.00,-0.01
1.885,-0.01,0.00,0.00
1.889,-0.02,0.01,-0.01
1.893,-0.00,-0.02,-0.01
1.903,-0.03,-0.01,-0.01
1.904,-0.01,-0.01,-0.00
1.909,-0.03,0.01,-0.00
1.911,0.02,0.01,-0.01
1.920,-0.00,0.01,-0.01
1.921,-0.00,0.00,0.00
1.924,0.00,-0.02,0.00
1.929,-0.03,-0.01,0.01
1.934,0.01,-0.02,-0.01
1.937,-0.00,-0.01,0.01
1.942,-0.01,-0.01,-0.01
1.953,-0.01,-0.03,-0.01
1.955,-0.01,-0.01,0.01
1.958,-0.00,-0.01,-0.00
1.959,-0.00,0.00,-0.01
1.973,-0.00,-0.00,0.00
1.974,-0.01,-0.01,0.00
1.976,-0.01,-0.01,-0.00
1.978,-0.01,-0.00,0.01
1.983,0.01,-0.01,0.00
1.986,-0.02,-0.01,0.01
1.991,0.00,-0.01,-0.01
1.994,-0.01,0.00,0.00
2.003,0.01,-0.01,-0.00
2.006,-0.01,-0.02,0.01
2.008,-0.01,-0.01,-0.01
2.023,0.00,-0.01,0.00
2.024,-0.01,0.00,0.00
2.025,-0.02,-0.00,0.00
2.026,-0.00,-0.01,-0.00
2.030,0.01,-0.00,0.00
2.035,-0.00,-0.02,-0.01
2.040,-0.01,0.00,-0.01
2.043,0.00,0.01,-0.00
2.059,-0.00,-0.02,0.00
2.066,-0.01,-0.00,-0.01
2.066,0.00,0.00,0.01
2.067,-0.00,-0.01,-0.01
2.068,0.01,-0.02,-0.01
2.069,-0.00,-0.01,0.01
2.075,-0.00,-0.01,-0.01
2.078,0.00,-0.01,0.01
2.092,0.00,-0.00,0.00
2.095,0.01,-0.00,0.00
2.096,-0.00,-0.01,-0.01
2.097,-0.02,-0.01,0.00
2.108,-0.00,0.00,0.00
2.112,0.00,-0.01,0.00
2.113,-0.01,0.00,-0.00
2.114,0.00,0.01,0.01
2.118,0.00,-0.00,-0.00
2.123,-0.01,0.00,0.01
2.130,-0.00,-0.01,0.00
2.144,-0.02,-0.01,-0.00
2.145,-0.01,-0.02,-0.00
2.146,-0.00,-0.01,-0.01
2.147,-0.01,0.00,-0.01
2.149,-0.00,-0.00,-0.01
2.158,-0.01,-0.01,-0.01
2.162,-0.02,-0.01,-0.00
2.165,-0.01,-0.01,-0.01
2.167,-0.01,-0.00,0.00
2.172,-0.00,-0.00,-0.00
2.175,-0.02,-0.01,-0.00
2.188,-0.01,-0.01,0.00
2.190,0.00,0.01,-0.00
2.197,0.01,-0.00,-0.00
2.199,-0.02,0.01,-0.01
2.200,0.00,-0.01,-0.01
2.204,-0.02,-0.01,0.01
2.219,-0.03,-0.02,-0.00
2.221,-0.01,-0.01,0.00
2.222,-0.01,-0.01,0.01
2.237,-0.01,0.01,-0.00
2.238,-0.01,0.00,-0.00
2.238,-0.01,-0.01,-0.01
2.239,-0.02,0.00,0.01
2.240,0.01,0.00,-0.01
2.244,-0.02,-0.01,-0.00
2.246,-0.01,-0.01,0.01
2.262,-0.00,-0.00,0.01
2.267,-0.02,0.01,-0.01
2.269,-0.01,-0.01,-0.01
2.270,-0.01,-0.00,-0.01
2.271,-0.02,-0.00,-0.01
2.274,-0.00,-0.00,-0.01
2.278,-0.00,-0.01,0.02
2.283,0.00,-0.01,0.01
2.288,-0.03,0.00,0.01
2.290,-0.02,-0.00,0.00
2.295,0.01,-0.02,0.00
2.309,-0.01,-0.01,0.01
2.314,0.01,-0.01,-0.01
2.315,0.00,0.00,0.00
2.315,-0.01,-0.01,0.01
2.319,-0.02,-0.00,-0.00
2.322,-0.01,-0.01,0.01
2.326,0.00,-0.00,0.01
2.330,-0.02,-0.01,-0.01
2.335,-0.02,-0.01,0.00
2.340,-0.01,-0.01,-0.01
2.344,-0.02,-0.02,0.00
2.348,0.01,0.00,-0.00
2.361,-0.01,-0.01,-0.00
2.362,-0.01,-0.01,0.00
2.363,-0.01,-0.01,-0.01
2.374,-0.00,-0.01,0.01
2.379,-0.00,-0.01,-0.00
2.381,-0.02,-0.01,-0.00
2.381,0.00,-0.02,-0.01
2.386,-0.00,-0.01,-0.01
2.388,-0.02,-0.00,0.00
2.393,-0.01,-0.00,-0.01
2.396,-0.01,-0.01,-0.00
2.402,-0.01,0.00,-0.02
2.405,-0.01,-0.02,0.00
2.410,-0.02,-0.01,0.02
2.415,-0.01,-0.01,-0.01
2.430,-0.00,-0.02,-0.00
2.431,-0.01,-0.01,-0.00
2.432,-0.01,-0.02,-0.00
2.433,-0.01,0.00,0.01
2.442,-0.00,-0.01,-0.00
2.443,-0.01,0.00,0.00
2.447,-0.01,0.00,-0.00
2.462,-0.01,0.01,0.00
2.463,-0.00,-0.02,-0.01
2.464,-0.01,-0.00,0.01
2.465,-0.02,0.01,0.00
2.467,-0.01,-0.01,0.01
2.475,-0.01,0.00,0.00
2.480,-0.00,-0.02,-0.00
2.485,-0.00,0.01,0.00
2.486,-0.02,0.00,0.00
2.490,0.00,0.00,0.00
2.494,-0.01,-0.03,0.01
2.499,-0.02,0.01,0.00
2.505,-0.00,-0.02,0.00
2.507,0.00,-0.01,0.00
2.512,0.00,0.01,-0.01
2.515,-0.00,-0.01,-0.01
2.532,0.00,-0.00,-0.00
2.534,0.00,-0.01,0.00
2.534,-0.00,-0.02,0.01
2.535,0.01,0.01,0.01
2.538,-0.01,-0.00,0.00
2.543,0.01,-0.01,0.00
